transaction_id,ride_id,purchase_amount_usd,charge_status,transaction_ts
10000000,3000000,13.55,Approved,2021-03-28 19:11:00
10000001,3000001,27.77,Approved,2021-11-10 16:59:00
10000002,3000002,21.84,Approved,2021-09-08 21:03:00
10000003,3000004,26.86,Approved,2021-05-28 09:21:00
10000004,3000005,21.72,Approved,2021-12-01 16:59:00
10000005,3000006,13.07,Approved,2021-06-04 09:33:00
10000006,3000010,24.22,Approved,2021-10-11 16:51:00
10000007,3000011,24.18,Approved,2021-11-28 17:36:00
10000008,3000012,16.52,Approved,2021-09-02 18:48:00
10000009,3000013,22.45,Approved,2021-11-15 21:02:00
10000010,3000014,23.87,Approved,2021-12-15 11:33:00
10000011,3000015,16.12,Approved,2021-05-05 11:32:00
10000012,3000017,10.58,Approved,2021-06-16 12:01:00
10000013,3000018,17.8,Approved,2021-12-07 09:29:00
10000014,3000022,14.19,Approved,2021-10-29 20:04:00
10000015,3000023,20.22,Approved,2021-05-27 21:10:00
10000016,3000025,13.02,Approved,2021-07-09 09:55:00
10000017,3000027,29.27,Approved,2021-10-22 18:27:00
10000018,3000029,13.04,Decline,2021-09-13 21:26:00
10000019,3000032,26.57,Approved,2021-11-30 16:07:00
10000020,3000033,10.23,Approved,2021-07-12 07:58:00
10000021,3000034,17.88,Approved,2021-09-10 09:35:00
10000022,3000037,17.74,Approved,2021-11-25 19:51:00
10000023,3000039,19.58,Approved,2021-10-02 10:41:00
10000024,3000040,10.2,Approved,2021-06-17 11:14:00
10000025,3000041,14.28,Approved,2021-09-03 00:19:00
10000026,3000044,26.86,Approved,2021-03-09 19:55:00
10000027,3000045,22.97,Approved,2021-08-26 09:55:00
10000028,3000047,26.96,Approved,2021-02-26 19:09:00
10000029,3000050,14.54,Approved,2021-12-13 12:16:00
10000030,3000054,29.03,Approved,2021-03-13 02:44:00
10000031,3000055,26.59,Approved,2021-03-26 18:09:00
10000032,3000057,25.84,Approved,2021-09-09 19:03:00
10000033,3000059,11.14,Approved,2021-10-05 10:24:00
10000034,3000060,24.48,Approved,2021-11-05 11:12:00
10000035,3000061,11.22,Approved,2021-07-22 09:49:00
10000036,3000062,21.72,Approved,2021-05-30 16:35:00
10000037,3000063,21.7,Approved,2021-07-03 20:35:00
10000038,3000066,17.84,Approved,2021-10-24 09:57:00
10000039,3000067,12.5,Approved,2021-03-26 20:16:00
10000040,3000069,10.59,Approved,2021-07-22 17:58:00
10000041,3000071,26.27,Approved,2021-03-26 19:17:00
10000042,3000072,21.85,Approved,2021-11-24 13:39:00
10000043,3000073,29.06,Approved,2021-09-25 12:31:00
10000044,3000074,17.49,Approved,2021-06-24 09:53:00
10000045,3000077,10.21,Approved,2021-12-30 13:38:00
10000046,3000079,23.59,Approved,2021-02-12 11:20:00
10000047,3000081,29.86,Approved,2021-10-28 18:32:00
10000048,3000082,27.24,Approved,2021-11-07 18:43:00
10000049,3000083,17.62,Approved,2021-05-06 18:22:00
10000050,3000084,19.37,Approved,2021-05-18 09:49:00
10000051,3000086,13.56,Approved,2021-07-12 10:58:00
10000052,3000087,10.7,Approved,2021-11-24 10:42:00
10000053,3000089,12.92,Approved,2021-12-11 19:10:00
10000054,3000090,26.82,Approved,2021-11-14 18:03:00
10000055,3000092,23.47,Approved,2021-10-26 18:34:00
10000056,3000095,23.99,Approved,2021-12-12 18:40:00
10000057,3000097,18.64,Approved,2021-12-14 00:32:00
10000058,3000098,20.29,Approved,2021-10-17 19:30:00
10000059,3000099,16.91,Approved,2021-09-17 10:07:00
10000060,3000101,12.11,Approved,2021-11-13 11:04:00
10000061,3000103,22.81,Approved,2021-06-15 10:30:00
10000062,3000104,14.57,Approved,2021-07-20 18:34:00
10000063,3000105,14.64,Approved,2021-07-21 10:57:00
10000064,3000106,14.04,Approved,2021-03-28 17:03:00
10000065,3000107,27.89,Approved,2021-06-25 06:23:00
10000066,3000108,13.6,Approved,2021-12-07 10:59:00
10000067,3000111,22.08,Approved,2021-12-14 18:35:00
10000068,3000115,18.69,Approved,2021-12-27 20:38:00
10000069,3000117,23.28,Approved,2021-08-16 18:46:00
10000070,3000118,16.51,Approved,2021-11-18 16:40:00
10000071,3000119,25.1,Approved,2021-05-23 18:04:00
10000072,3000121,24.68,Approved,2021-10-29 19:49:00
10000073,3000125,28.13,Approved,2021-08-09 10:30:00
10000074,3000126,27.07,Approved,2021-06-14 16:55:00
10000075,3000128,28.14,Approved,2021-05-07 18:34:00
10000076,3000129,23.75,Approved,2021-10-08 09:43:00
10000077,3000130,24.79,Approved,2021-12-01 16:42:00
10000078,3000131,27.85,Approved,2021-08-25 19:50:00
10000079,3000133,29.52,Approved,2021-09-25 11:14:00
10000080,3000136,28.18,Approved,2022-01-01 10:09:00
10000081,3000137,25.05,Approved,2021-12-31 21:01:00
10000082,3000138,22.28,Approved,2021-07-09 20:27:00
10000083,3000139,23.24,Approved,2021-09-11 15:56:00
10000084,3000141,26.84,Approved,2021-09-02 19:28:00
10000085,3000144,21.28,Approved,2021-12-16 18:23:00
10000086,3000147,15.04,Approved,2021-10-21 16:50:00
